	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
225	Chicken Litter House 2 - Front_HMV_environmental/other	0	1	1	chicken-litter-house-2---front_hmv_environmental/other	Poultry
226	Chicken Litter House 3 - Back_HMV_environmental/other	0	1	1	chicken-litter-house-3---back_hmv_environmental/other	Poultry
227	Chicken Litter House 3 - Front_HMV_environmental/other	0	1	1	chicken-litter-house-3---front_hmv_environmental/other	Poultry
228	Chicken Litter House 4 - Back_HMV_environmental/other	0	1	1	chicken-litter-house-4---back_hmv_environmental/other	Poultry
229	Chicken Mixed Parts_HMV_environmental/other	0	12	12	chicken-mixed-parts_hmv_environmental/other	Poultry
230	Chicken Thigh_HMV_environmental/other	0	1	1	chicken-thigh_hmv_environmental/other	Poultry
231	Chicken Thighs_HMV_environmental/other	0	122	122	chicken-thighs_hmv_environmental/other	Poultry
232	Chicken Whole - cut in lab_HMV_environmental/other	0	27	27	chicken--hole---cut-in-lab_hmv_environmental/other	Poultry
233	Chicken Whole-Cut In The Lab_HMV_environmental/other	0	6	6	chicken--hole-cut-in-the-lab_hmv_environmental/other	Poultry
234	Chicken Wings_HMV_environmental/other	0	106	106	chicken--ings_hmv_environmental/other	Poultry
235	Chicken breasts_HMV_environmental/other	0	4	4	chicken-breasts_hmv_environmental/other	Meat/Meatproduct
236	Chicken ceca_HMV_environmental/other	0	39	39	chicken-ceca_hmv_environmental/other	Poultry
237	Chicken house 1 Back inside_HMV_environmental/other	0	1	1	chicken-house-1-back-inside_hmv_environmental/other	Poultry
238	Chicken house 1 Back_HMV_environmental/other	0	3	3	chicken-house-1-back_hmv_environmental/other	Poultry
239	Chicken house 1 Front outside_HMV_environmental/other	0	2	2	chicken-house-1-front-outside_hmv_environmental/other	Poultry
240	Chicken house 1 Front_HMV_environmental/other	0	3	3	chicken-house-1-front_hmv_environmental/other	Poultry
241	Chicken house 1 Middle_HMV_environmental/other	0	4	4	chicken-house-1-middle_hmv_environmental/other	Poultry
242	Chicken house 2 Back inside_HMV_environmental/other	0	1	1	chicken-house-2-back-inside_hmv_environmental/other	Poultry
243	Chicken house 2 Back_HMV_environmental/other	0	6	6	chicken-house-2-back_hmv_environmental/other	Poultry
244	Chicken house 2 Front_HMV_environmental/other	0	5	5	chicken-house-2-front_hmv_environmental/other	Poultry
245	Chicken house 2 Middle_HMV_environmental/other	0	7	7	chicken-house-2-middle_hmv_environmental/other	Poultry
246	Chicken house 3 Back_HMV_environmental/other	0	6	6	chicken-house-3-back_hmv_environmental/other	Poultry
247	Chicken house 3 Front_HMV_environmental/other	0	5	5	chicken-house-3-front_hmv_environmental/other	Poultry
248	Chicken house 3 Middle_HMV_environmental/other	0	4	4	chicken-house-3-middle_hmv_environmental/other	Poultry
249	Chicken house 4 Back_HMV_environmental/other	0	4	4	chicken-house-4-back_hmv_environmental/other	Poultry
250	Chicken house 4 Front inside_HMV_environmental/other	0	1	1	chicken-house-4-front-inside_hmv_environmental/other	Poultry
251	Chicken house 4 Front_HMV_environmental/other	0	4	4	chicken-house-4-front_hmv_environmental/other	Poultry
252	Chicken house 4 Middle_HMV_environmental/other	0	4	4	chicken-house-4-middle_hmv_environmental/other	Poultry
253	Chicken legs_HMV_environmental/other	0	4	4	chicken-legs_hmv_environmental/other	Poultry
254	Chicken mixed parts_HMV_environmental/other	0	1	1	chicken-mixed-parts_hmv_environmental/other	Poultry
255	Chicken thighs_HMV_environmental/other	0	9	9	chicken-thighs_hmv_environmental/other	Poultry
256	Chicken wings_HMV_environmental/other	0	5	5	chicken-wings_hmv_environmental/other	Meat/Meatproduct
257	Chicken, (Avian); Liver_HMV_environmental/other	0	2	2	chicken,-(avian);-liver_hmv_environmental/other	Poultry
258	Chicken, (Avian); Peritoneum_HMV_environmental/other	0	1	1	chicken,-(avian);-peritoneum_hmv_environmental/other	Poultry
259	Chicken, (Avian)_HMV_environmental/other	0	33	33	chicken,-(avian)_hmv_environmental/other	Poultry
260	Chipmunk_HMV_environmental/other	0	2	2	chipmunk_hmv_environmental/other	Environment
261	Chlorohexidine_HMV_environmental/other	0	1	1	chlorohexidine_hmv_environmental/other	Environment
262	Choana_Polysticta stelleri_environmental/other	0	3	3	choana_polysticta-stelleri_environmental/other	Environment
263	Choana_Somateria fischeri_environmental/other	0	1	1	choana_somateria-fischeri_environmental/other	Environment
264	Choana_Zenaida macroura_environmental/other	0	1	1	choana_zenaida-macroura_environmental/other	Environment
265	Chocolate marquise dessert_HMV_environmental/other	0	2	2	chocolate-marquise-dessert_hmv_environmental/other	Dairy
266	Cilantro_HMV_environmental/other	0	3	3	cilantro_hmv_environmental/other	plant_based_food
267	Cliff Swallow_HMV_environmental/other	0	8	8	cliff-swallow_hmv_environmental/other	Environment
268	Cloaca (Meleagris gallopavo)_HMV_environmental/other	0	1	1	cloaca-(meleagris-gallopavo)_hmv_environmental/other	Poultry
269	Cloacae_Anas platyrhynchos_environmental/other	0	1	1	cloacae_anas-platyrhynchos_environmental/other	Environment
270	Cloacae_Somateria fischeri_environmental/other	0	2	2	cloacae_somateria-fischeri_environmental/other	Environment
271	Cloacae_Somateria spectabilis_environmental/other	0	1	1	cloacae_somateria-spectabilis_environmental/other	Environment
272	Cloacae_Zenaida macroura_environmental/other	0	1	1	cloacae_zenaida-macroura_environmental/other	Environment
273	Cloacae_duck_environmental/other	0	1	1	cloacae_duck_environmental/other	Poultry
274	Clover Sprout Outbreak_HMV_environmental/other	0	2	2	clover-sprout-outbreak_hmv_environmental/other	plant_based_food
275	Clover Sprouts_HMV_environmental/other	0	1	1	clover-sprouts_hmv_environmental/other	plant_based_food
276	Cojita Cheese_HMV_environmental/other	0	1	1	cojita-cheese_hmv_environmental/other	Dairy
277	Colon (Sus domesticus)_HMV_environmental/other	0	1	1	colon-(sus-domesticus)_hmv_environmental/other	Swine
278	Colon_Bos taurus_environmental/other	0	1	1	colon_bos-taurus_environmental/other	Ruminant
279	Colon_Canis lupus familiaris_environmental/other	0	10	10	colon_canis-lupus-familiaris_environmental/other	Dog
280	Colon_Sus scrofa_environmental/other	0	1	1	colon_sus-scrofa_environmental/other	Swine
281	Commercial food_HMV_environmental/other	0	1	1	commercial-food_hmv_environmental/other	Meat/Meatproduct
282	Common Eider_HMV_environmental/other	0	4	4	common-eider_hmv_environmental/other	Environment
283	Computer_HMV_environmental/other	0	1	1	computer_hmv_environmental/other	Environment
284	Control Air_HMV_environmental/other	0	2	2	control-air_hmv_environmental/other	Environment
285	Cormorant, Db Crested (Avian)_HMV_environmental/other	0	2	2	cormorant,-db-crested-(avian)_hmv_environmental/other	Environment
286	Cormorant, Double Crested_HMV_environmental/other	0	4	4	cormorant,-double-crested_hmv_environmental/other	Environment
287	Cow feces_HMV_environmental/other	0	1	1	cow-feces_hmv_environmental/other	Ruminant
288	Cow, (Bovine); Feces_HMV_environmental/other	0	38	38	cow,-(bovine);-feces_hmv_environmental/other	Ruminant
289	Cow, (Bovine); Food, Cheek trim_HMV_environmental/other	0	1	1	cow,-(bovine);-food,-cheek-trim_hmv_environmental/other	Ruminant
290	Cow, (Bovine); Ileum_HMV_environmental/other	0	2	2	cow,-(bovine);-ileum_hmv_environmental/other	Ruminant
291	Cow, (Bovine); Intestine-Large_HMV_environmental/other	0	2	2	cow,-(bovine);-intestine-large_hmv_environmental/other	Ruminant
292	Cow, (Bovine); Intestine-Small_HMV_environmental/other	0	14	14	cow,-(bovine);-intestine-small_hmv_environmental/other	Ruminant
293	Cow, (Bovine); Intestine_HMV_environmental/other	0	2	2	cow,-(bovine);-intestine_hmv_environmental/other	Ruminant
294	Cow, (Bovine); Lung_HMV_environmental/other	0	1	1	cow,-(bovine);-lung_hmv_environmental/other	Ruminant
295	Cow, (Bovine); Spleen_HMV_environmental/other	0	1	1	cow,-(bovine);-spleen_hmv_environmental/other	Ruminant
296	Cow, (Bovine); Uterus_HMV_environmental/other	0	2	2	cow,-(bovine);-uterus_hmv_environmental/other	Ruminant
297	Cow, (Bovine)_HMV_environmental/other	0	162	162	cow,-(bovine)_hmv_environmental/other	Ruminant
298	Coyote feces_Canis latrans_clinical	2	0	2	coyote-feces_canis-latrans_clinical	Homosapiens
299	Cream_HMV_environmental/other	0	1	1	cream_hmv_environmental/other	Environment
300	Culture slant_porcine_environmental/other	0	3	3	culture-slant_porcine_environmental/other	Swine
301	Dairy processing environment - Cheese press_HMV_environmental/other	0	2	2	dairy-processing-environment---cheese-press_hmv_environmental/other	Dairy
302	Dairy processing environment - Crate_HMV_environmental/other	0	1	1	dairy-processing-environment---crate_hmv_environmental/other	Environment
303	Dairy processing environment - Floor_HMV_environmental/other	0	8	8	dairy-processing-environment---floor_hmv_environmental/other	Environment
304	Dairy processing environment - Plant boot_HMV_environmental/other	0	3	3	dairy-processing-environment---plant-boot_hmv_environmental/other	Environment
305	Dairy processing environment - Squeegee_HMV_environmental/other	0	5	5	dairy-processing-environment---squeegee_hmv_environmental/other	Environment
306	Deer, Whitetail; Intestine-Large_HMV_environmental/other	0	1	1	deer,--hitetail;-intestine-large_hmv_environmental/other	Environment
307	Deer, Whitetail; Intestine-Small_HMV_environmental/other	0	5	5	deer,--hitetail;-intestine-small_hmv_environmental/other	Environment
308	Deer, Whitetail; Jejunum_HMV_environmental/other	0	1	1	deer,--hitetail;-jejunum_hmv_environmental/other	Environment
309	Deer, Whitetail_HMV_environmental/other	0	8	8	deer,--hitetail_hmv_environmental/other	Environment
310	Disposable Boot Covers_HMV_environmental/other	0	1	1	disposable-boot-covers_hmv_environmental/other	Environment
311	Dog, (Canine); Colon_HMV_environmental/other	0	4	4	dog,-(canine);-colon_hmv_environmental/other	Dog
312	Dog, (Canine); Feces_HMV_environmental/other	0	11	11	dog,-(canine);-feces_hmv_environmental/other	Dog
313	Dog, (Canine); Intestine-Large_HMV_environmental/other	0	1	1	dog,-(canine);-intestine-large_hmv_environmental/other	Dog
314	Dog, (Canine); Intestine_HMV_environmental/other	0	3	3	dog,-(canine);-intestine_hmv_environmental/other	Dog
315	Dog, (Canine); Lung_HMV_environmental/other	0	1	1	dog,-(canine);-lung_hmv_environmental/other	Dog
316	Dog, (Canine);_HMV_environmental/other	0	1	1	dog,-(canine);_hmv_environmental/other	Dog
317	Dog, (Canine)_HMV_environmental/other	0	15	15	dog,-(canine)_hmv_environmental/other	Dog
318	Dolphin_HMV_environmental/other	0	2	2	dolphin_hmv_environmental/other	Environment
319	Door Handle_HMV_environmental/other	0	1	1	door-handle_hmv_environmental/other	Environment
320	Door Handles_HMV_environmental/other	0	1	1	door-handles_hmv_environmental/other	Environment
321	Door Jamb_HMV_environmental/other	0	2	2	door-jamb_hmv_environmental/other	Environment
322	Drag swab through chicken house (Gallus gallus domesticus)_HMV_environmental/other	0	5	5	drag-swab-through-chicken-house-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
323	Draining Tract (Canis lupus familiaris)_HMV_environmental/other	0	3	3	draining-tract-(canis-lupus-familiaris)_hmv_environmental/other	Dog
324	Dry cow 1_Bos taurus_environmental/other	0	1	1	dry-cow-1_bos-taurus_environmental/other	Ruminant
325	Dry cow 2_Bos taurus_environmental/other	0	1	1	dry-cow-2_bos-taurus_environmental/other	Ruminant
326	Dry cow 3_Bos taurus_environmental/other	0	1	1	dry-cow-3_bos-taurus_environmental/other	Ruminant
327	Dry cow 4_Bos taurus_environmental/other	0	1	1	dry-cow-4_bos-taurus_environmental/other	Ruminant
328	Dry cow 5_Bos taurus_environmental/other	0	1	1	dry-cow-5_bos-taurus_environmental/other	Ruminant
329	Duck, (Avian); Feces_HMV_environmental/other	0	1	1	duck,-(avian);-feces_hmv_environmental/other	Poultry
330	Duck, (Avian)_HMV_environmental/other	0	6	6	duck,-(avian)_hmv_environmental/other	Poultry
331	Duodenum_Ovis aries_environmental/other	0	2	2	duodenum_ovis-aries_environmental/other	Environment
332	E-tube site(Canis lupus familiaris)_HMV_environmental/other	0	2	2	e-tube-site(canis-lupus-familiaris)_hmv_environmental/other	Dog
333	Ear (Canis lupus familaris)_HMV_environmental/other	0	1	1	ear-(canis-lupus-familaris)_hmv_environmental/other	Dog
334	Ear (Canis lupus familiaris )_HMV_environmental/other	0	1	1	ear-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
335	Ear (Canis lupus familiaris)_HMV_environmental/other	0	22	22	ear-(canis-lupus-familiaris)_hmv_environmental/other	Dog
336	Ear (Canis)_HMV_environmental/other	0	1	1	ear-(canis)_hmv_environmental/other	Environment
337	Ear swab (Canis familiaris)_HMV_environmental/other	0	1	1	ear-swab-(canis-familiaris)_hmv_environmental/other	Dog
338	Ear swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	ear-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
339	Edge of yard (Environmental)_HMV_environmental/other	0	1	1	edge-of-yard-(environmental)_hmv_environmental/other	Environment
340	Elephant_HMV_environmental/other	0	1	1	elephant_hmv_environmental/other	Environment
341	Elk_HMV_environmental/other	0	1	1	elk_hmv_environmental/other	Environment
342	Endotracheal wash(Canis lupus familiaris)_HMV_environmental/other	0	5	5	endotracheal-wash(canis-lupus-familiaris)_hmv_environmental/other	Dog
343	Enrichment_HMV_environmental/other	0	6	6	enrichment_hmv_environmental/other	Environment
344	Enviroment_HMV_environmental/other	0	3	3	enviroment_hmv_environmental/other	Environment
345	Enviroment_Serpentes_environmental/other	0	1	1	enviroment_serpentes_environmental/other	Environment
346	Enviroment_environment_environmental/other	0	3	3	enviroment_environment_environmental/other	Environment
347	Environ_HMV_environmental/other	0	1	1	environ_hmv_environmental/other	Environment
348	Environment_HMV_environmental/other	0	14	14	environment_hmv_environmental/other	Environment
349	Environment_ZymoBIOMICS Microbial Community Standard Strain_environmental/other	0	1	1	environment_zymobiomics-microbial-community-standard-strain_environmental/other	Environment
350	Environmental sample: soil sample_HMV_environmental/other	0	6	6	environmental-sample:-soil-sample_hmv_environmental/other	Environment
351	Environmental swab: lairage swab_HMV_environmental/other	0	7	7	environmental-swab:-lairage-swab_hmv_environmental/other	Environment
352	Environmental water_HMV_environmental/other	0	1	1	environmental-water_hmv_environmental/other	Environment
353	Envrionment_HMV_environmental/other	0	1	1	envrionment_hmv_environmental/other	Environment
354	Equine Uterus (Equus caballus)_HMV_environmental/other	0	1	1	equine-uterus-(equus-caballus)_hmv_environmental/other	Horse
355	Eye (Canis lupus familiaris)_HMV_environmental/other	0	2	2	eye-(canis-lupus-familiaris)_hmv_environmental/other	Dog
356	FOOD ISOLATE (N60 Bench Trim Boxed)_HMV_environmental/other	0	1	1	food-isolate-(n60-bench-trim-boxed)_hmv_environmental/other	Environment
357	Facility 1_Homo sapiens_clinical	4	0	4	facility-1_homo-sapiens_clinical	Homosapiens
358	Facility 3_Homo sapiens_clinical	2	0	2	facility-3_homo-sapiens_clinical	Homosapiens
359	Facility 4_Homo sapiens_clinical	3	0	3	facility-4_homo-sapiens_clinical	Homosapiens
360	Facility 5_Homo sapiens_clinical	1	0	1	facility-5_homo-sapiens_clinical	Homosapiens
361	Facility 6_Homo sapiens_clinical	1	0	1	facility-6_homo-sapiens_clinical	Homosapiens
362	Facility A_Homo sapiens_clinical	3	0	3	facility-a_homo-sapiens_clinical	Homosapiens
363	Facility B_Homo sapiens_clinical	2	0	2	facility-b_homo-sapiens_clinical	Homosapiens
364	Facility D_Homo sapiens_clinical	1	0	1	facility-d_homo-sapiens_clinical	Homosapiens
365	Facility E_Homo sapiens_clinical	1	0	1	facility-e_homo-sapiens_clinical	Homosapiens
366	Facility F_Homo sapiens_clinical	8	0	8	facility-f_homo-sapiens_clinical	Homosapiens
367	Facility G_Homo sapiens_clinical	3	0	3	facility-g_homo-sapiens_clinical	Homosapiens
368	Facility H_Homo sapiens_clinical	2	0	2	facility-h_homo-sapiens_clinical	Homosapiens
369	Facility I_Homo sapiens_clinical	1	0	1	facility-i_homo-sapiens_clinical	Homosapiens
370	Facility J_Homo sapiens_clinical	3	0	3	facility-j_homo-sapiens_clinical	Homosapiens
371	Facility K_Homo sapiens_clinical	7	0	7	facility-k_homo-sapiens_clinical	Homosapiens
372	Facility L_Homo sapiens_clinical	2	0	2	facility-l_homo-sapiens_clinical	Homosapiens
373	Fecal Swab_Homo sapiens_clinical	1	0	1	fecal-swab_homo-sapiens_clinical	Homosapiens
374	Fecal swab_porcine_environmental/other	0	6	6	fecal-swab_porcine_environmental/other	Swine
375	Feces (Bos taurus)_HMV_environmental/other	0	23	23	feces-(bos-taurus)_hmv_environmental/other	Ruminant
376	Feces (Bovine)_HMV_environmental/other	0	446	446	feces-(bovine)_hmv_environmental/other	Ruminant
377	Feces (Canine lupus familiaris)_HMV_environmental/other	0	2	2	feces-(canine-lupus-familiaris)_hmv_environmental/other	Dog
378	Feces (Canis lupus familaris)_HMV_environmental/other	0	1	1	feces-(canis-lupus-familaris)_hmv_environmental/other	Dog
379	Feces (Canis lupus familiaris )_HMV_environmental/other	0	2	2	feces-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
380	Feces (Canis lupus familiaris)_HMV_environmental/other	0	37	37	feces-(canis-lupus-familiaris)_hmv_environmental/other	Dog
381	Feces (Canis)_HMV_environmental/other	0	1	1	feces-(canis)_hmv_environmental/other	Environment
382	Feces (Canius lupus)_HMV_environmental/other	0	2	2	feces-(canius-lupus)_hmv_environmental/other	Environment
383	Feces (Capra aegagrus hircus)_HMV_environmental/other	0	1	1	feces-(capra-aegagrus-hircus)_hmv_environmental/other	Environment
384	Feces (Equis)_HMV_environmental/other	0	2	2	feces-(equis)_hmv_environmental/other	Horse
385	Feces (Felis catus domesticus)_HMV_environmental/other	0	3	3	feces-(felis-catus-domesticus)_hmv_environmental/other	Environment
386	Feces (Felis catus)_HMV_environmental/other	0	4	4	feces-(felis-catus)_hmv_environmental/other	Environment
387	Feces (Sheep)_HMV_environmental/other	0	16	16	feces-(sheep)_hmv_environmental/other	Ruminant
388	Feces (Sus scrofa domesticus)_HMV_environmental/other	0	2	2	feces-(sus-scrofa-domesticus)_hmv_environmental/other	Swine
389	Feces (White-Tailed Deer)_HMV_environmental/other	0	1	1	feces-(-hite-tailed-deer)_hmv_environmental/other	Environment
390	Feces of patient with hemolytic uremic syndrome_Homo sapiens_clinical	1	0	1	feces-of-patient-with-hemolytic-uremic-syndrome_homo-sapiens_clinical	Homosapiens
391	Feces(Bovine)_HMV_environmental/other	0	40	40	feces(bovine)_hmv_environmental/other	Ruminant
